# Expression Atlas version: 3.5
# Query: Genes matching: default query, specifically up/down differentially expressed in 2 comparisons  given the p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-4152
# Timestamp: Sun, 23-Jul-2017 11:46:47
Gene ID	Gene Name	Design Element	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat
ENSG00000119729	RHOQ	8041808	0.2	0.123531651963757	2.45519983259368			
ENSG00000119737	GPR75	8052143	0.2	0.164393287456323	2.15363247121975	0.4	0.0286844091597901	4.38280655373652
ENSG00000119760	SUPT7L	8051204	-0.3	0.0418035645105926	-3.60314501871308	-0.1	0.264347439418952	-1.72466375631095
ENSG00000119778	ATAD2B	8050658				0.2	0.118960879979739	2.54543587381874
ENSG00000119787	ATL2	8051589	0.2	0.188594914425514	2.01277169262044	0.2	0.046195513684938	3.64643890170357
ENSG00000119812	FAM98A	8051413	0.3	0.107571802063877	2.59312511637659	0.3	0.0132054636178794	5.81202628251255
ENSG00000119820	YIPF4	8041281	0.1	0.411385289950167	1.19040680723789	0.2	0.128131394979979	2.4624702661092
ENSG00000119862	LGALSL	8042283	0.1	0.449077873884152	1.09638475348612			
ENSG00000119878	CRIPT	8041813	-0.2	0.0941171229243696	-2.73324811940399	0.1	0.420173586537011	1.23367185534008
ENSG00000119899	SLC17A5	8127549	-0.3	0.0648461753764845	-3.12628076293165	0.3	0.0147859246108316	5.57908190346176
ENSG00000119900	OGFRL1	8120602	-0.5	0.00376991728729406	-6.9987206658596			
ENSG00000119906	SLF2	7929858	-0.1	0.512700426657438	-0.947827465099067	0.4	0.0168254576900508	5.3296765574249
ENSG00000119913	TECTB	7930487				0.3	0.2324596683888	1.85690527932251
ENSG00000119915	ELOVL3	7930025	-0.7	0.00479840104684506	-6.58647411087987	-0.3	0.0438737700414432	-3.71078397579704
ENSG00000119917	IFIT3	7929052	-0.5	0.024105061973295	-4.24707581478616			
ENSG00000119927	GPAM	7936322	0.2	0.025835025588985	4.16425451331966	1.4	1.91763681692159E-4	28.4129283820776
ENSG00000119929	CUTC	7929768				-0.2	0.0316239297432907	-4.20993418102937
ENSG00000119938	PPP1R3C	7934997	-1.1	9.70336705956561E-5	-18.1466928177688	-0.4	0.00967378799435956	-6.57238429815783
ENSG00000119943	PYROXD2	7935572	-0.3	0.0543277298187572	-3.31573401641331	-0.2	0.0968472091455776	-2.76460653973191
ENSG00000119953	SMNDC1	7892537	-0.4	0.0966289460465919	-2.70504419265518	-0.4	0.163504851332049	-2.2110459953055
ENSG00000119953	SMNDC1	7892549	0.5	0.239924448685253	1.76371862740668	0.4	0.29681253028491	1.60493666686679
ENSG00000119953	SMNDC1	7893005	-0.2	0.647545475072283	-0.669179714656499	-0.3	0.410511010404273	-1.25793289034968
ENSG00000119953	SMNDC1	7893030	-0.1	0.681015610229962	-0.603302448849501	0.2	0.562841760512498	0.908618526125987
ENSG00000119953	SMNDC1	7893126				-0.1	0.784518923837793	-0.456217356826258
ENSG00000119953	SMNDC1	7893349	-0.1	0.719535631983088	-0.528610840381653	-0.1	0.620583204322961	-0.786939617040958
ENSG00000119953	SMNDC1	7893518	0.2	0.0588770568458944	3.23019694707377			
ENSG00000119953	SMNDC1	7893604	0.2	0.222830923116371	1.84102423404437			
ENSG00000119953	SMNDC1	7894457				0.9	0.0483229937089815	3.58493182325826
ENSG00000119953	SMNDC1	7894472	0.2	0.22240103567039	1.8431475275017	0.6	0.0704510796712251	3.12227709927012
ENSG00000119953	SMNDC1	7895085	0.4	0.211855232457118	1.893998462806	0.2	0.244401008504646	1.80672062411929
ENSG00000119953	SMNDC1	7895546				0.2	0.112361008928086	2.60664331673494
ENSG00000119953	SMNDC1	7895738	0.1	0.616652244158418	0.729395970306009			
ENSG00000119953	SMNDC1	7895830	0.2	0.227478753924907	1.81866748727579	0.2	0.435522801244644	1.19771481257842
ENSG00000119965	C10orf88	7936817	0.2	0.153047567313145	2.2262277560961			
ENSG00000119969	HELLS	7929438	0.3	0.034906277333212	3.80461128882222	0.5	0.00533692516982628	8.08102615960091
ENSG00000119973	PRLHR	7936590				-0.1	0.348224268670094	-1.4333655132289
ENSG00000119986	AVPI1	7935521	-1.5	5.23707222064022E-4	-11.4909165681406	-0.9	0.00394917583603427	-9.01825552291601
ENSG00000120053	GOT1	7935627	0.3	0.0482566003020856	3.44641134872782	-0.4	0.0118150244624408	-6.06158366582058
ENSG00000120055	C10orf95	7936023				-0.1	0.35169954122849	-1.42186804239019
ENSG00000120063	GNA13	8017711	0.3	0.0121758242260649	5.1485262064232			
ENSG00000120071	KANSL1	8016266	-0.2	0.0722590271556036	-3.01115773535079			
ENSG00000120137	PANK3	8115681	0.3	0.013093006834984	5.04955458863607			
ENSG00000120149	MSX2	8110084	0.8	9.73219674320741E-4	9.86698378622014			
ENSG00000120156	TEK	8154692	0.7	0.00308408846990951	7.34943831412544	0.2	0.0227507843919454	4.77720045923537
ENSG00000120158	RCL1	8154163	0.3	0.0423945806376146	3.58552444845942	-0.3	0.0300983348709644	-4.29675024777762
ENSG00000120159	CAAP1	8160478	-0.2	0.170592151480751	-2.11487107011369			
ENSG00000120210	INSL6	8159971	0.2	0.19149791309663	1.99574423369822			
ENSG00000120217	CD274	8154233	-0.4	0.031535114179757	-3.92036398071154	-0.5	0.0123933686444425	-5.93312903610602
ENSG00000120235	IFNA6	8160417	0.3	0.20694843764104	1.91767093274282			
ENSG00000120254	MTHFD1L	8122773	0.2	0.0666897168038099	3.09748848361463			
ENSG00000120262	CCDC170	8122827	-0.3	0.0179347982529022	-4.62820253856144	-0.3	0.0203185462452199	-4.95841402809498
ENSG00000120314	WDR55	8108593				0.2	0.0711696716534438	3.10830711763919
ENSG00000120322	PCDHB8	8108713				-0.3	0.277655650119993	-1.6735562355135
ENSG00000120324	PCDHB10	8108724	-0.3	0.041178018707805	-3.61988222784517			
ENSG00000120327	PCDHB14	8108744	-0.4	0.0124771466976452	-5.11466164683115			
ENSG00000120333	MRPS14	7922462	-0.2	0.0261222820583681	-4.15012584938582			
ENSG00000120334	CENPL	7922391				0.1	0.35432355071559	1.41373264060082
ENSG00000120370	GORAB	7907213	0.1	0.71152618820884	0.543556318599699			
ENSG00000120436	GPR31	8130785	0.1	0.625318874448403	0.714048261268294			
ENSG00000120437	ACAT2	8123137				-0.3	0.116486879686346	-2.56734189687784
ENSG00000120457	KCNJ5	7945146	0.1	0.319739418143955	1.4562822221282			
ENSG00000120458	MSANTD2	7952445				0.3	0.0705796468186412	3.12019599336128
ENSG00000120471	TP53AIP1	7952631	0.2	0.146727721193788	2.27207283589897	-0.1	0.639905674956159	-0.74812490648633
ENSG00000120519	SLC10A7	8103043				-0.1	0.409106280092605	-1.26169918400628
ENSG00000120526	NUDCD1	8152340	0.3	0.0598553136575476	3.21263955539075			
ENSG00000120549	KIAA1217	7926679	-0.7	3.96127177654953E-4	-12.3342057940374	-0.3	0.011802454038371	-6.0685883685761
ENSG00000120555	SEPT7P9	7933115	0.2	0.156700333414966	2.20390900813994			
ENSG00000120594	PLXDC2	7926545	-0.3	0.0102751665687955	-5.36872696653541	-0.3	0.0107950988829774	-6.26921764302378
ENSG00000120616	EPC1	7932938				-0.2	0.131041478484734	-2.43899835594409
ENSG00000120645	IQSEC3	7952897				-0.2	0.279600782175151	-1.66591380970589
ENSG00000120658	ENOX1	7971311	0.4	0.0185319553068576	4.58228777767714	-0.2	0.036135391151667	-3.9951573063852
ENSG00000120662	MTRF1	7971222	-0.1	0.453656856936427	-1.08630495941156	0.2	0.104115827837721	2.68339981722687
ENSG00000120664	SPG20-AS1	7968632				-0.1	0.645904266775643	-0.736595983009218
ENSG00000120675	DNAJC15	7968872	-0.2	0.0421282306076293	-3.59385579138976			
ENSG00000120688	WBP4	7968746	-0.1	0.746668857161179	-0.479217050984295			
ENSG00000120690	ELF1	7971197	-0.3	0.0699504541417112	-3.04308670083561	0.1	0.240773369813503	1.82084333161813
ENSG00000120693	SMAD9	7971015	-0.7	3.00473904985276E-4	-13.1905024709585			
ENSG00000120694	HSPH1	7970864				0.3	0.0137314363667378	5.73053700188248
ENSG00000120696	KBTBD7	7971218				-0.1	0.335254631328184	-1.47389504131662
ENSG00000120697	ALG5	7971027	-0.2	0.19931063090976	-1.95549760995659	-0.2	0.212772319108233	-1.94423650827358
ENSG00000120699	EXOSC8	7968658	0.4	0.0838928676905291	2.85149082254368			
ENSG00000120705	ETF1	8114443	0.2	0.158448400173923	2.19187534280231	0.2	0.220210881034646	1.91095010375677
ENSG00000120708	TGFBI	8108217	0.3	0.00592483469706973	6.2470101175298			
ENSG00000120738	EGR1	8108370	-0.5	0.0016693227593619	-8.56229170109254	-0.5	0.0151879664930916	-5.51711028316062
ENSG00000120784	ZFP30	8036420				0.5	0.0321871998800188	4.17287764891668
ENSG00000120798	NR2C1	7965523	-0.1	0.48582360453402	-1.00761932170922	0.2	0.241908156838893	1.81550785604345
ENSG00000120800	UTP20	7957890	0.2	0.0687276560047195	3.06016258825344	0.2	0.169089366147333	2.17711201442535
ENSG00000120805	ARL1	7965789	0.2	0.212764604052234	1.88982750520822	0.2	0.0990157424513456	2.74081140779132
ENSG00000120820	GLT8D2	7965941	-0.5	9.68205020084697E-4	-9.87839220322448	-0.7	0.00203678396129806	-11.2771093344353
ENSG00000120833	SOCS2	7957551				-0.4	0.0113013948431694	-6.17899003602261
ENSG00000120837	NFYB	7965956	-0.2	0.280264259453205	-1.60133216151936	-0.1	0.486451527634557	-1.07455426347157
ENSG00000120868	APAF1	7957759	0.2	0.101514196862107	2.65524618731772	0.2	0.0932328748284342	2.80740702408015
ENSG00000120875	DUSP4	8150076	-0.4	0.00325335010456674	-7.25307112182909			
ENSG00000120885	CLU	8149927	-0.3	0.0134722333518405	-5.0023685741825			
ENSG00000120896	SORBS3	8145151				-0.4	0.00567561421860748	-7.90961714427264
ENSG00000120899	PTK2B	8145490	-1.2	6.0239170976754E-5	-21.0751523862513	-0.8	7.96256755261541E-4	-15.520356572798
ENSG00000120910	PPP3CC	8145136	0.2	0.029939637001102	3.98218503626268			
ENSG00000120913	PDLIM2	8145175				-0.3	0.021722746430984	-4.85366476229298
ENSG00000120915	EPHX2	8145532	-0.3	0.0195132940764414	-4.51723262699803	-0.4	0.0168254576900508	-5.33038297386165
ENSG00000120942	UBIAD1	7897685				-0.3	0.0206465260362318	-4.93648333444125
ENSG00000120948	TARDBP	7892506	-0.6	0.230318914142611	-1.80562590626995	-0.3	0.0772040081380224	-3.01810079928401
ENSG00000120948	TARDBP	7892555	-0.2	0.549417954746906	-0.865393555791383	0.2	0.435760915418688	1.19706263845499
ENSG00000120948	TARDBP	7892575	0.2	0.675296752769487	0.61591552012814	0.6	0.136329681827407	2.3990390752103
ENSG00000120948	TARDBP	7892948	0.2	0.391052922016418	1.24476486308803	0.5	0.0316239297432907	4.21082603220372
ENSG00000120948	TARDBP	7893108	-0.1	0.875772076322101	-0.23615541875696	-0.4	0.545568490831135	-0.943714420348302
ENSG00000120948	TARDBP	7893247	0.2	0.20789199934877	1.91290919388043	0.4	0.00971809073544362	6.5364964827603
ENSG00000120948	TARDBP	7893449	0.3	0.0881823063674798	2.80214744493737	0.2	0.16530534766937	2.20039112796621
ENSG00000120948	TARDBP	7893487	0.1	0.679981855261393	0.605473106414556	0.2	0.504668909275402	1.03405160362499
ENSG00000120948	TARDBP	7893708	0.1	0.722606208830584	0.523039523277903			
ENSG00000120948	TARDBP	7894021				-0.4	0.0498830539954695	-3.54059158274999
ENSG00000120948	TARDBP	7894991	0.1	0.374533058043597	1.28935722351825	0.3	0.0463956391388937	3.64035805455072
ENSG00000120948	TARDBP	7895028	0.1	0.711433773654795	0.544717293218926	0.2	0.469327426549678	1.11517078423623
ENSG00000120948	TARDBP	7895285	-0.1	0.720786260927127	-0.526532441697047	0.7	0.165430823236068	2.1996740027566
ENSG00000120948	TARDBP	7895298	-0.1	0.67990187019368	-0.605749362240494	0.1	0.790276909752745	0.443243014168494
ENSG00000120948	TARDBP	7895790				-0.5	0.018843065459559	-5.08876809235354
ENSG00000120948	TARDBP	7896147	0.3	0.115612556144217	2.52219413078753	0.1	0.619350787525113	0.789487641578665
ENSG00000120948	TARDBP	7896619	0.3	0.148273645428641	2.25994619514964	0.1	0.78258833603575	0.459620494949626
ENSG00000120949	TNFRSF8	7897860	0.1	0.333136359891805	1.41358423332123			
ENSG00000120952	PRAMEF2	7897987	0.1	0.28352220814136	1.58939781107725	0.1	0.68078051965873	0.66297415809548
ENSG00000121005	CRISPLD1	8146967	-0.6	0.00864173112795884	-5.6262113035574	-0.5	0.00999777073855048	-6.46567757043247
ENSG00000121022	COPS5	8151136	-0.1	0.750897742191418	-0.471105815379842			
ENSG00000121039	RDH10	8146921	-1.3	6.93729980214645E-5	-19.8535936162303	0.2	0.184993859823269	2.08746581807363
ENSG00000121057	AKAP1	8008664				-0.2	0.163926404583701	-2.20810153149037
ENSG00000121058	COIL	8016858	0.2	0.269670751321456	1.64070750849529	0.2	0.147184078712622	2.32206417902199
ENSG00000121060	TRIM25	8016847	-0.3	0.015758864346052	-4.79298981192888	-0.2	0.0689352384868169	-3.14956143078421
ENSG00000121064	SCPEP1	8008646	-0.3	0.11966544230067	-2.48941483681147			
ENSG00000121068	TBX2	8008969	0.3	0.00699556354852772	5.96687403587961	-0.4	0.0065823476191644	-7.57615136040747
ENSG00000121075	TBX4	8008982	-0.3	0.0284906022484824	-4.04538139432994	-0.3	0.0233173368369232	-4.73434440013956
ENSG00000121101	TEX14	8017061	0.2	0.24819849246001	1.72718765106166			
ENSG00000121104	FAM117A	8016590				-0.3	0.00736992438142507	-7.29486184299445
ENSG00000121207	LRAT	8097920				0.1	0.407567305640613	1.26556688289652
ENSG00000121210	KIAA0922	8097867	-0.3	0.0319974623157107	-3.90263231460767			
ENSG00000121211	MND1	8097857	-0.3	0.0816749585740389	-2.88069867743788			
ENSG00000121289	CEP89	8035958	0.2	0.104061665643705	2.62880959547672			
ENSG00000121310	ECHDC2	7916229	-0.2	0.103189001039853	-2.63857161016648			
ENSG00000121316	PLBD1	7961440	-0.2	0.180141692248358	-2.06130593136629			
ENSG00000121318	TAS2R10	7961249				0.4	0.0309081254399522	4.25475443220557
ENSG00000121350	PYROXD1	7954382	0.4	0.0223698016644633	4.33518662626334	0.2	0.196313615833079	2.02690769504504
ENSG00000121390	PSPC1	7970413				0.3	0.0148971995012906	5.56540404583771
ENSG00000121440	PDZRN3	8088848	-0.4	0.00640074235827625	-6.12035509385912	-0.6	0.00387752437168455	-9.06671062143908
ENSG00000121481	RNF2	7908169	0.2	0.129021870267948	2.4077015229297			
ENSG00000121486	TRMT1L	7922870	-0.1	0.318356467275016	-1.46047221689271			
ENSG00000121542	SEC22A	8082153				0.3	0.0205707866296166	4.94108387119334
ENSG00000121552	CSTA	8082058				-0.4	0.013078120548955	-5.83027914732358
ENSG00000121577	POPDC2	8089785	0.6	0.00180417742051985	8.40275860190089			
ENSG00000121578	B4GALT4	8089743	0.2	0.191932917372834	1.9935336980467	0.1	0.748508476952479	0.525152249997949
ENSG00000121621	KIF18A	7947248				0.2	0.0416450179210185	3.77858347694414
ENSG00000121690	DEPDC7	7939173	-0.6	0.00373794321385018	-7.01104859982899			
ENSG00000121691	CAT	7939298	-0.3	0.0289272912263351	-4.02624668176114			
ENSG00000121741	ZMYM2	7967900	0.2	0.024105061973295	4.24727518246867	0.5	0.00397777951577516	8.99018078272863
ENSG00000121743	GJA3	7970439	0.2	0.264991170204384	1.65821042755224			
ENSG00000121749	TBC1D15	7957186				0.2	0.163449541879448	2.21150228810497
ENSG00000121766	ZCCHC17	7899604				-0.1	0.688718440365401	-0.646678876027829
ENSG00000121769	FABP3	7914342	-0.2	0.0182486342078153	-4.60603724190708	0.4	0.00673572178436045	7.50231726132917
ENSG00000121774	KHDRBS1	7894115	-0.1	0.433612548841244	-1.13412545771975	-0.2	0.117580029642271	-2.55717570682772
ENSG00000121774	KHDRBS1	7894518	0.1	0.787428762335371	0.401968147106873	0.2	0.760820797797505	0.500436822173616
ENSG00000121774	KHDRBS1	7895710				0.2	0.226220023898702	1.88441532756672
ENSG00000121774	KHDRBS1	7895943	0.1	0.643879112201645	0.67661829760213	-0.1	0.503772282019915	-1.03617013773587
ENSG00000121774	KHDRBS1	7896005	0.2	0.084085133506117	2.84910591454981			
ENSG00000121774	KHDRBS1	7896331	0.1	0.449447599975149	1.09543213864649	0.1	0.452858291636522	1.15525508145987
ENSG00000121774	KHDRBS1	7896358	0.1	0.516648368297399	0.938068431119274	0.2	0.359650826393189	1.39645056313925
ENSG00000121775	TMEM39B	7899675	-0.3	0.0362122600403609	-3.75889313972341	-0.5	0.0129121334881255	-5.85360238822641
ENSG00000121797	CCRL2	8079407	-0.4	0.0119445772298539	-5.17370320867358	-0.4	0.0166497255555562	-5.3533960868638
ENSG00000121797	CCRL2	8093304	-0.3	0.0301547507552937	-3.97278112953645	-0.3	0.0367670400003559	-3.96346309338007
ENSG00000121858	TNFSF10	8092169	-0.3	0.0072868870259115	-5.89949917100444	-0.8	0.002805072751326	-10.221256567034
ENSG00000121864	ZNF639	8084035	0.5	0.0185319553068576	4.58253428668414	0.2	0.104415169152106	2.67977557267441
ENSG00000121879	PIK3CA	8084016	0.2	0.0669576867224964	3.09074169324679			
ENSG00000121892	PDS5A	8099926				0.2	0.0442050455889988	3.70266873075574
ENSG00000121895	TMEM156	8099850				1.2	0.00655561551233023	7.58811627045476
ENSG00000121897	LIAS	7892797				-0.1	0.583847265923527	-0.862834614380109
ENSG00000121898	CPXM2	7936835	-0.4	0.0756170297241908	-2.96433314311183	-0.1	0.259831667867618	-1.74213043121319
ENSG00000121900	TMEM54	7914592	-0.2	0.118402922951294	-2.50017076703612			
ENSG00000121903	ZSCAN20	7899884				0.2	0.0774015030796582	3.0151954825387
ENSG00000121904	CSMD2	7914667	0.4	0.00479065901214784	6.58926557894513			
ENSG00000121931	LRIF1	7918467	0.1	0.380181326013244	1.27298028262594			
ENSG00000121964	GTDC1	8055606	0.2	0.0620959948699708	3.17284177660453			
ENSG00000121988	ZRANB3	8055377	-0.2	0.236056621963999	-1.77936507561632	-0.2	0.256038817952246	-1.7569505989522
ENSG00000121989	ACVR2A	8045587				0.1	0.488022664306368	1.07067686888152
ENSG00000122012	SV2C	8106336	0.2	0.0867085683239176	2.81868413339357			
ENSG00000122042	UBL3	7970831				0.2	0.0302012902288228	4.29118405064366
ENSG00000122043	LINC00544	7968323				-0.2	0.0649739689022827	-3.22242445120569
ENSG00000122121	XPNPEP2	8169836	-0.2	0.0999770606012129	-2.67160993059487	-0.3	0.0437082092026722	-3.71610008612562
ENSG00000122122	SASH3	8169859				0.1	0.472931000393662	1.10570227385027
ENSG00000122140	MRPS2	8159249				-0.2	0.0206126619575708	-4.93859747146437
ENSG00000122180	MYOG	7923528	0.2	0.115173323483511	2.52596372137546			
ENSG00000122194	PLG	8123259	0.1	0.340631212604601	1.39240514644039			
ENSG00000122218	COPA	7921583	0.2	0.016743132807325	4.7157770313353			
ENSG00000122223	CD244	7921677	0.1	0.378677831000342	1.27731640672801			
ENSG00000122335	SERAC1	8130474	-0.3	0.0296337326838083	-3.99759887799156	-0.3	0.0368743409571293	-3.95914266610891
ENSG00000122359	ANXA11	7934733	0.3	0.00591222326683097	6.25223983067113			
ENSG00000122376	FAM35A	7928909	0.2	0.107996535942793	2.58825804691839			
ENSG00000122378	FAM213A	7928695	0.1	0.38849469428436	1.25179836903897	0.1	0.730394513504871	0.563870640478236
ENSG00000122390	NAA60	7992905				-0.2	0.0604473730334544	-3.30476130237853
ENSG00000122417	ODF2L	7917433	0.1	0.438617472065547	1.12158796562906	0.3	0.136508205016609	2.39751256521492
ENSG00000122420	PTGFR	7902527	-1.1	7.87922304916439E-5	-19.2433975654184	-0.8	0.00254609673526594	-10.5369839076578
ENSG00000122482	ZNF644	7917604	0.3	0.0415113487676927	3.61144321802446	0.3	0.061824772670022	3.280086861425
ENSG00000122483	CCDC18	7903049				0.2	0.167357273456707	2.188236601149
ENSG00000122512	PMS2	8138030	0.2	0.390096801658012	1.24726354036094	0.1	0.728322628598835	0.567274479272221
ENSG00000122545	SEPT7	8132292	0.3	0.179602347669395	2.06414133617947	0.1	0.347059221796916	1.43673817029576
ENSG00000122550	KLHL7	8131815	-0.4	0.0194625652437273	-4.52292188787452			
ENSG00000122557	HERPUD2	8139003				-0.2	0.0366619614766278	-3.96984676513462
ENSG00000122565	CBX3	7892699	0.2	0.693994075214229	0.577557212756357			
ENSG00000122565	CBX3	7893226	0.1	0.765590678920009	0.443398324251574			
ENSG00000122565	CBX3	7893451	-0.2	0.300627437322782	-1.52427769517774			
ENSG00000122565	CBX3	7893575	0.5	0.132133481940703	2.38452493124515	0.7	0.110189287926128	2.62687118343916
ENSG00000122565	CBX3	7893715	0.2	0.244601302851656	1.74459086591017	0.3	0.0151384699539951	5.5302368096902
ENSG00000122565	CBX3	7893722	-0.1	0.668205425537225	-0.627823906932512	0.2	0.283081175501908	1.65259067303233
ENSG00000122565	CBX3	7894927	0.6	0.282998739105609	1.59140272923062	0.5	0.36474621910081	1.38110361059842
ENSG00000122565	CBX3	7895252	0.3	0.0702433294512094	3.03912556773394			
ENSG00000122565	CBX3	7895322	0.3	0.0544320082890917	3.31381384795595	0.3	0.0594066086049605	3.32546855295636
ENSG00000122565	CBX3	7895717				0.3	0.0204453555270441	4.95124798876941
ENSG00000122565	CBX3	7896618	0.2	0.318270347052171	1.46083123612414	0.3	0.470434902166311	1.11218281249907
ENSG00000122566	HNRNPA2B1	8138670	0.2	0.269670751321456	1.64077859011819	0.3	0.0575884985334223	3.36238195632316
ENSG00000122585	NPY	8131919				-0.1	0.287725074152712	-1.63656539685877
ENSG00000122591	FAM126A	8138553	0.1	0.392535535816765	1.24091902395935	0.2	0.203255023453538	1.99104784808674
ENSG00000122592	HOXA7	8138745	-0.6	0.00181655195532761	-8.38759074929578	-0.2	0.0487293516653663	-3.57575162266735
ENSG00000122641	INHBA	8139207	1.5	5.06928470870798E-5	22.6243170982168	-0.3	0.0215327866141061	-4.8694066648463
ENSG00000122642	FKBP9	8132214				-0.2	0.0351309499592216	-4.03752672980068
ENSG00000122678	POLM	8139281				-0.2	0.0898281870022851	-2.84545250277531
ENSG00000122691	TWIST1	8138442	-0.3	0.00255760546813544	-7.69884777750836	-0.3	0.0103548263807993	-6.36216973078969
ENSG00000122694	GLIPR2	8155192	0.6	9.87363879285186E-4	9.82640708027039	-0.2	0.0362988316963965	-3.98738784373232
ENSG00000122696	SLC25A51	8161249	0.4	0.0519613154745594	3.36243429831234	0.5	0.0117391389489365	6.07841506104949
ENSG00000122707	RECK	8155169	-0.3	0.0296125116153831	-3.99884574875007			
ENSG00000122711	SPINK4	8154779				-0.1	0.570614980178497	-0.891596468459069
ENSG00000122783	C7orf49	8143065				-0.1	0.747946479607307	-0.526625292310547
ENSG00000122786	CALD1	8136347	0.8	1.31033006477065E-4	16.5441826079387			
ENSG00000122861	PLAU	7928429	1.0	8.46352605308083E-5	18.7472084633073	-0.3	0.0239994158753383	-4.6813058495595
ENSG00000122862	SRGN	7927964	-0.5	8.82981061949674E-4	-10.0775458718115			
ENSG00000122870	BICC1	7927681	-0.6	0.00257065395011996	-7.68959155578016			
ENSG00000122873	CISD1	7927649	-0.3	0.0902109242753035	-2.77716389592352			
ENSG00000122877	EGR2	7933872				-0.3	0.0636798745233926	-3.2447758555192
ENSG00000122884	P4HA1	7934278	0.4	0.00155459216585414	8.69733503895941			
ENSG00000122912	SLC25A16	7934050	0.2	0.0509043272879212	3.38555142587133	0.2	0.0606413713159163	3.30117763392502
ENSG00000122970	IFT81	7958620	0.1	0.706536589566386	0.553825688573286	0.3	0.148198453357023	2.31375629685568
ENSG00000122971	ACADS	7959220				-0.3	0.00970663972663557	-6.54531469295604
ENSG00000123009	NME2P1	7959146	0.3	0.174656726929338	2.09281193339902	0.1	0.714911475859069	0.592626043133358
ENSG00000123066	MED13L	7966706	0.3	0.0171350033022456	4.68547508500796	-0.2	0.0126653698851307	-5.89203419502242
ENSG00000123080	CDKN2C	7901363	-0.2	0.143818859306983	-2.29337610873869			
ENSG00000123091	RNF11	7901376				0.2	0.107261444434079	2.65444675631251
ENSG00000123094	RASSF8	7954469	-0.4	0.00660222693692489	-6.06300773787747	0.3	0.0317881899280764	4.20027891650753
ENSG00000123095	BHLHE41	7961891	-0.3	0.0182727846726089	-4.6016946154907			
ENSG00000123096	SSPN	7954481	-0.4	0.00838079198500872	-5.67957614375913	-0.2	0.0274926778144492	-4.45050492287275
ENSG00000123130	ACOT9	8171802	0.3	0.0356343684012241	3.78045806394466	0.2	0.046253238535082	3.64354216541492
ENSG00000123131	PRDX4	8166455				-0.1	0.317428155193476	-1.53294494852817
ENSG00000123136	DDX39A	8034806	0.2	0.132438286603167	2.38240373387146			
ENSG00000123165	ACTRT1	8174979				-0.1	0.561881369861479	-0.910708090052608
ENSG00000123178	SPRYD7	7971644	0.3	0.0301547507552937	3.97282977796399	0.2	0.088427625251364	2.86200366725666
ENSG00000123179	EBPL	7971615				-0.3	0.0280872676017197	-4.41622344598897
ENSG00000123219	CENPK	8112376	0.3	0.089450083240531	2.78677246100258	0.3	0.0548487198627579	3.42592923531208
ENSG00000123268	ATF1	7955425	-0.3	0.0103490557374151	-5.35750987136117			
ENSG00000123307	NEUROD4	7955974	0.1	0.422370488809721	1.16203949032975	-0.1	0.783921450323875	-0.457534470740899
ENSG00000123329	ARHGAP9	7964436	0.1	0.530406166465911	0.905504955348977			
ENSG00000123342	MMP19	7963946				-0.2	0.109436117433533	-2.63424706147502
ENSG00000123353	ORMDL2	7956031				-0.2	0.0309081254399522	-4.25465374552544
ENSG00000123358	NR4A1	7955589	-1.1	5.64140472092741E-5	-21.4627157320152	-1.9	6.6526963080719E-5	-36.1003150063938
ENSG00000123360	PDE1B	7955943	0.4	0.00919485132662724	5.52798405737236			
ENSG00000123395	ATG101	7955606	0.3	0.0652310602312943	3.12026021789161	-0.1	0.350564357754787	-1.42613624646538
ENSG00000123407	HOXC12	7955852	0.1	0.462689658233286	1.06266589359464			
ENSG00000123411	IKZF4	7956105				-0.2	0.169480860370318	-2.17419810094668
ENSG00000123415	SMUG1	7963741	-0.3	0.0214441208522371	-4.39016962419668	-0.3	0.0250655539380085	-4.60642908422495
ENSG00000123444	KBTBD4	7947917	-0.3	0.0189909636202642	-4.55281340109215	-0.3	0.0296488687873034	-4.32450007285631
ENSG00000123473	STIL	7915926	0.3	0.00334797305862151	7.19417810843868	0.2	0.0209963808697304	4.90454733483011
ENSG00000123496	IL13RA2	8174598	-0.4	0.0112141364276831	-5.25594506578462			
ENSG00000123505	AMD1	8121489				0.3	0.0489592705078007	3.56683592018463
ENSG00000123552	USP45	8128409	0.2	0.197794686292642	1.96277261126697	0.2	0.237283734306749	1.83712036204294
ENSG00000123562	MORF4L2	8174253	0.2	0.15482807453717	2.21573185517159	0.1	0.385493625906181	1.32157705279314
ENSG00000123569	H2BFWT	8174283	-0.2	0.344224172328188	-1.38085300499465	-0.3	0.17249329485129	-2.15667385803798
ENSG00000123575	FAM199X	8169085				0.2	0.149835566959715	2.30209803095612
